month,avg_profit,total_profit,num_trades,win_rate
April,2236.309844770411,1256806.132760971,562,91.45907473309609
August,1670.428093196726,1049028.842527544,628,90.28662420382165
December,1889.0207079704346,1195750.1081452852,633,91.15323854660348
February,2169.2108327506894,1329726.2404761727,613,88.58075040783035
January,1826.0900921677417,1241741.2626740644,680,90.14705882352942
July,1770.154236222396,1143519.6365996678,646,91.17647058823529
June,2025.0497165480874,1263631.0231260066,624,91.34615384615384
March,2529.6235694831826,1532951.8831068086,606,89.27392739273927
May,2042.5080578673158,1292907.600630011,633,90.67930489731437
November,983.9066795835645,585424.4743522209,595,89.07563025210085
October,2113.1681065769303,1272127.200159312,602,90.03322259136213
September,2402.14498112726,1460504.148525374,608,91.61184210526315
